公司代號,公司名稱,出表日期,營業收入-上月比較增減(%),營業收入-上月營收,營業收入-去年同月增減(%),營業收入-去年當月營收,營業收入-當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月,備註
1101,台泥,1131215,1.4162490850117566,16272067,87.80802213838791,8786909,16502520,水泥工業,39.6216087687329,99100658,138365933,11311,2024/3/6起併入OYAK及Cimpor，以致營收較去年同期增加。
1102,亞泥,1131215,9.450753020136474,6572799,4.022098907475429,6915817,7193978,水泥工業,-6.304377850139757,73861071,69204590,11311,-
1103,嘉泥,1131215,13.476264070154853,228409,1.4728220868503061,255428,259190,水泥工業,2.7692520781947656,2628002,2700778,11311,-
1104,環泥,1131215,6.394970262110907,641942,-12.167990802634726,777614,682994,水泥工業,1.9616758467067863,7059882,7198374,11311,-
1108,幸福,1131215,3.2852257869858192,397720,-18.448725966072086,503715,410786,水泥工業,-6.067807760332443,4645368,4363496,11311,-
1109,信大,1131215,8.531337323058738,348562,-29.021248651437684,532975,378299,水泥工業,-25.157968208491678,5690702,4259037,11311,-
1110,東泥,1131215,16.196253231008075,249922,26.470370483278824,229619,290400,水泥工業,26.680425028645743,2062261,2612481,11311,-
1201,味全,1131215,-10.487137977621234,2045868,-1.26399170997418,1854759,1831315,食品工業,9.541921390345237,19740018,21623595,11311,-
1203,味王,1131215,6.718958723260166,537494,1.3930747516028048,565727,573608,食品工業,-2.7538338333635055,5788984,5629565,11311,-
1210,大成,1131215,4.235522158114383,8604252,-4.302524691855966,9371916,8968687,食品工業,-7.003419019978263,101517687,94407978,11311,-
1213,大飲,1131215,-11.945628997867804,18760,53187.096774193546,31,16519,食品工業,57.871318531943814,110350,174211,11311,"112年11月因產能不足,113年產能恢復及積極推展業務,致使11月營收成長"
1215,卜蜂,1131215,-0.9109632961824905,2457728,0.674695268906639,2419018,2435339,食品工業,-4.589193962190687,26751822,25524129,11311,-
1216,統一,1131215,-5.320434246281239,54649449,7.429825765637329,48163404,51741861,食品工業,13.985073213404798,531816272,606191167,11311,-
1217,愛之味,1131215,0.5506054438579588,360149,17.2498421589419,308855,362132,食品工業,4.254241635328864,4588973,4784199,11311,-
1218,泰山,1131215,0.9361606135799684,833404,-14.031419391233966,978504,841206,食品工業,-4.833668383223639,10458144,9952632,11311,-
1219,福壽,1131215,3.074596120158308,1233040,-10.473144077580724,1419631,1270951,食品工業,-13.399007738442831,15100454,13077143,11311,-
1220,台榮,1131215,11.401946235865385,356483,17.36600387743522,338368,397129,食品工業,6.237410783595415,2982215,3168228,11311,-
1225,福懋油,1131215,6.743494175879546,1079648,-6.855092259571476,1237270,1152454,食品工業,-11.775276856154534,13362896,11789378,11311,-
1227,佳格,1131215,32.689223645600585,2080184,2.8710710751748416,2683145,2760180,食品工業,3.1700572305858556,24840214,25627663,11311,-
1229,聯華,1131215,33.30423841345842,832906,-5.603836723311784,1176212,1110299,食品工業,0.45790260732448695,11663834,11717243,11311,-
1231,聯華食,1131215,-3.0208339294878033,1048386,22.882465200770135,827389,1016716,食品工業,11.493135742830495,9691289,10805122,11311,-
